employee_id,name,department,days_recorded,absenteeism_rate_pct
EMP0083,Girish Menon,Sales,302,8.8
EMP0140,Suresh Reddy,Sales,302,8.3
EMP0114,Ashok Kulkarni,Marketing,74,8.1
EMP0003,Siddharth Joshi,Sales,302,7.9
EMP0056,Divya Verma,Operations,302,7.6
EMP0145,Deepika Gupta,Sales,302,7.5
EMP0065,Vivek Patil,Support,302,7.1
EMP0096,Nisha Nair,Support,302,7.1
EMP0020,Nisha Iyer,Support,302,6.8
EMP0031,Sneha Iyer,Engineering,302,6.8
EMP0094,Rahul Bhat,Support,302,6.8
EMP0185,Ananya Nair,Engineering,302,6.6
EMP0081,Bhavana Kumar,Sales,302,6.5
EMP0115,Chitra Reddy,Support,170,6.5
EMP0066,Swathi Bhat,Sales,302,6.3
